"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"LOC107984468",8,5,2,7,0,4,0,0
"LOC107984469",1,1,0,2,1,2,2,0
"TODL",1,2,0,0,0,0,0,0
"LOC107984476",0,0,0,0,0,1,0,0
"LOC107984482",1,0,0,0,0,1,0,3
"LOC107984495",0,2,0,1,0,0,0,0
"SULT6B2P",1,2,0,0,0,0,0,0
"LOC107984500",6,9,11,12,0,0,0,0
"LOC107984501",0,1,0,0,0,6,5,1
"LINC02354",3,11,28,35,3,4,11,1
"CPNE8-AS1",0,0,0,0,17,39,30,13
"LOC107984505",35,41,10,16,6,13,11,4
"LOC107984507",0,0,0,0,1,5,1,0
"SLC4A8-AS1",0,0,0,0,2,13,12,3
"LOC107984510",0,3,5,6,1,2,2,1
"LINC02955",0,0,0,0,0,4,6,1
"LOC107984521",89,103,73,79,0,0,0,0
"LOC107984522",7,4,1,5,0,1,0,0
"LOC107984530",0,0,0,0,0,0,1,0
"LOC107984537",3,4,2,4,14,22,32,11
"LINC02371",0,1,0,3,0,0,0,0
"CACNA1C-IT1",0,2,1,4,0,0,0,0
"LOC107984542",1,1,0,2,1,1,1,0
"LOC107984543",2,0,0,1,0,1,0,0
"LOC107984544",0,0,0,0,1,0,0,0
"LOC107984545",0,0,0,0,0,1,0,0
"LOC107984551",2,0,0,0,17,43,18,8
"LOC107984552",118,129,61,59,31,63,54,17
"LOC107984553",2,0,0,0,0,12,3,2
"LOC107984554",1,0,0,0,0,0,0,0
"LOC107984559",0,1,0,2,0,0,0,0
"LOC107984561",10,15,13,5,0,3,4,0
"LOC107984564",23,22,11,14,3,5,3,0
"LOC107984566",0,0,1,0,0,0,0,0
"LOC107984568",0,0,0,0,2,0,5,0
"LOC107984573",0,0,0,0,1,1,2,1
"LOC107984577",0,0,0,0,0,1,6,0
"LOC107984578",57,71,75,86,3,14,16,2
"LOC107984579",0,2,0,0,0,1,0,0
"LOC107984580",0,0,0,0,0,0,2,0
"PDS5B-DT",3,2,0,1,1,1,1,1
"LOC107984585",20,31,16,17,1,7,1,1
"LOC107984588",24,43,35,38,5,6,5,0
"LOC107984589",0,0,1,4,2,2,3,1
"LOC107984591",12,7,50,56,0,0,0,0
"LOC107984597",9,3,2,2,1,8,4,1
"LOC107984599",0,0,0,0,5,3,1,0
"LOC107984610",2,0,0,0,0,0,0,0
"LOC107984613",2,0,0,0,0,0,0,0
"LOC107984619",0,1,3,1,0,0,0,0
"LOC107984620",0,1,0,0,0,0,0,0
"LOC107984622",0,1,0,0,0,0,0,0
"LOC107984626",0,0,0,0,0,0,2,0
"LOC107984627",3,2,5,5,0,0,0,0
"LOC107984628",0,0,0,0,1,2,1,2
"LOC107984630",0,0,0,0,0,1,1,0
"LOC107984634",9,1,1,0,0,0,0,0
"LOC107984638",89,132,110,121,34,54,57,23
"LOC107984641",0,0,0,0,1,1,1,0
"LOC107984642",0,0,1,1,0,0,0,0
"LOC107984643",113,141,123,160,9,36,32,10
"LOC107984645",1,7,4,1,0,0,0,0
"LOC107984654",13,20,15,12,19,69,74,26
"LOC107984655",67,89,58,63,42,101,112,54
"LOC107984658",466,591,481,504,146,434,461,156
"AJUBA-DT",427,543,189,227,16,59,44,17
"LOC107984661",671,789,967,1073,13,39,32,12
"LOC107984663",0,0,0,0,1,4,2,0
"LOC107984668",0,0,0,1,0,0,1,0
"LOC107984670",21,27,30,42,1,2,1,1
"LOC107984673",0,5,0,1,0,0,1,0
"LOC107984674",6,8,0,3,0,0,0,0
"LOC107984676",2,0,0,2,0,1,0,1
"LOC107984681",3,1,8,9,0,0,0,0
"LOC107984684",0,4,2,2,36,85,126,43
"LOC107984685",51,59,48,65,0,0,0,0
"LOC107984690",1,2,5,0,1,1,2,1
"LOC107984692",0,0,0,0,0,0,1,0
"LOC107984697",0,1,2,0,0,0,2,0
"LOC107984701",1,1,1,0,4,4,4,3
"LOC107984702",3,3,3,10,0,11,9,3
"LOC107984708",2,0,1,1,0,1,3,1
"LOC107984709",0,0,0,0,1,7,8,1
"LOC107984710",0,2,4,2,0,0,0,0
"LOC107984711",0,0,0,0,2,2,0,0
"LOC107984713",1,0,3,0,4,3,4,1
"MYO9A-AS1",0,0,0,0,0,2,0,0
"LOC107984716",0,0,0,0,1,3,3,0
"LOC107984733",1,0,0,1,0,0,0,0
"LOC107984734",0,0,0,0,0,0,1,0
"LOC107984735",0,0,1,0,1,0,1,1
"LOC107984746",1,1,0,1,0,0,0,0
"DUT-AS1",4,7,6,2,5,18,7,4
"LOC107984763",2,5,4,2,12,61,37,22
"LINC02253",0,5,0,2,5,18,13,8
"LOC107984766",1,0,0,0,0,0,3,0
"LOC107984770",0,1,0,3,0,2,2,0
"LOC107984772",1,0,0,0,0,0,0,0
"LINC01852",1,0,1,0,8,13,6,3
"LOC107984777",0,2,0,0,0,0,0,0
"LOC107984778",0,0,0,0,0,2,0,0
"LOC107984782",5,0,0,1,0,0,0,0
"LOC107984784",0,1,0,1,0,0,0,0
"LOC107984787",1,1,0,0,0,0,0,0
"LOC107984788",6,11,4,4,0,0,0,0
"LOC107984789",0,0,0,0,0,0,1,0
"LOC107984790",0,0,1,1,0,0,1,0
"LOC107984791",2,1,2,0,3,14,28,5
"LOC107984792",0,1,0,1,0,0,0,0
"LOC107984794",0,2,0,0,1,0,0,0
"LOC107984798",10,11,3,3,0,0,1,0
"LOC107984805",4,4,3,6,14,51,36,26
"LOC107984806",0,0,0,0,0,0,3,0
"LINC02132",0,0,0,0,0,2,0,0
"CTCF-DT",1,9,2,1,2,4,0,0
"LOC107984821",2,1,1,6,0,3,1,0
"LOC107984827",3,1,0,0,1,4,1,0
"LOC107984828",2,6,5,2,0,0,0,0
"LOC107984830",15,14,6,6,7,17,9,0
"CORO1A-AS1",1,6,4,5,3,4,4,1
"LOC107984835",7,7,10,5,0,2,1,1
"KCTD13-DT",174,172,160,177,7,22,25,11
"LOC107984839",10,20,14,12,1,3,3,1
"SMG1-DT",4,2,5,10,7,13,11,4
"LOC107984850",7,15,9,11,0,2,1,0
"LOC107984852",22,27,11,16,9,7,7,3
"LOC107984855",0,0,1,0,0,0,0,0
"CENPN-AS1",569,603,480,534,40,115,89,24
"LOC107984859",2,1,0,1,0,0,0,0
"LOC107984862",14,30,36,36,15,35,12,5
"LOC107984865",3,4,4,2,3,6,6,2
"LOC107984867",4,15,5,6,1,4,2,0
"LOC107984869",0,6,1,0,0,1,1,0
"LOC107984871",0,0,3,0,0,0,0,0
"LOC107984872",3,1,0,3,0,0,0,0
"LOC107984874",0,0,0,0,0,1,0,0
"ZNF747-DT",912,926,750,876,32,71,44,22
"LOC107984876",4,5,4,2,0,1,0,0
"LOC107984877",8,5,0,3,0,9,6,2
"LOC107984878",1,1,0,0,1,1,1,1
"LOC107984881",2,5,10,5,0,0,1,0
"LOC107984886",0,1,0,1,0,0,0,0
"LOC107984887",0,0,0,0,0,1,0,0
"LOC107984888",0,2,0,1,0,0,0,0
"LOC107984889",0,0,0,0,0,9,8,1
"LOC107984890",11,10,14,34,2,3,1,0
"LOC107984892",0,0,0,0,1,4,4,1
"LOC107984901",1,0,0,0,0,1,0,0
"LOC107984903",0,2,0,0,0,0,0,0
"LOC107984904",0,0,1,0,0,0,0,0
"LOC107984906",2,2,1,5,1,2,1,0
"LOC107984909",0,2,1,1,3,4,0,0
"LOC107984912",3,1,5,0,0,1,0,0
"LOC107984913",30,48,36,62,8,21,27,8
"LOC107984915",0,0,0,0,2,1,1,1
"LINC01772",19,22,27,32,13,36,25,11
"LOC107984928",4,6,6,5,0,5,2,0
"LOC107984934",0,0,0,0,0,1,0,0
"LOC107984935",10,22,5,7,2,5,9,2
"LOC107984940",0,0,0,1,0,0,1,0
"LOC107984942",4,2,0,0,1,0,1,0
"LOC107984946",4,6,4,7,0,2,0,1
"MED8-AS1",33,38,36,33,7,12,12,8
"LOC107984948",53,74,57,51,0,11,7,4
"LOC107984950",981,1269,1005,1138,97,270,174,53
"LOC107984952",6,2,1,2,0,3,2,1
"LOC107984956",2,0,0,1,1,0,0,0
"LINC02812",0,0,1,0,0,1,0,0
"DHCR24-DT",243,271,168,244,6,13,14,4
"LOC107984960",0,1,1,1,1,4,2,2
"LOC107984961",0,0,0,2,0,0,0,0
"LOC107984962",1,4,0,1,0,0,0,0
"LOC107984964",0,0,0,1,0,0,0,0
"LOC107984965",1,0,1,2,0,3,0,0
"LOC107984966",0,0,0,0,1,2,0,0
"LOC107984967",0,1,0,0,0,1,0,0
"TMEM11-DT",31,24,18,22,7,15,12,3
"LOC107984974",5424,6744,4045,5195,636,1763,1737,626
"LOC107984976",1,0,0,0,0,0,0,0
"LOC107984979",15,16,5,3,0,1,0,0
"LOC107984988",11,8,9,9,3,7,8,3
"LOC107984989",10,7,5,7,1,4,1,3
"SSH2-AS1",4,0,1,1,2,2,3,0
"BCAS3-AS1",1,1,1,1,3,6,7,0
"LOC107984993",6,13,9,12,8,20,7,2
"LINC02094",0,0,0,4,0,1,1,0
"LOC107984996",3,0,0,2,0,0,0,0
"LOC107984997",0,2,0,2,0,0,0,0
"LOC107984999",4,0,4,1,2,2,2,2
"LOC107985000",92,85,41,76,8,16,4,1
"LOC107985002",6,9,14,36,17,27,27,7
"LOC107985005",0,2,0,1,0,0,1,0
"LOC107985009",1,2,1,3,0,1,1,1
"LOC107985011",8,8,13,13,9,24,17,3
"LOC107985012",2,0,3,1,1,4,4,6
"LOC107985013",49,49,44,59,5,14,14,5
"LOC107985014",9,8,2,8,1,8,1,3
"LOC107985017",41,40,33,42,14,41,27,16
"LOC107985020",0,1,0,0,2,9,5,0
"LOC107985027",4,16,16,23,12,28,19,5
"LOC107985028",2,0,0,0,0,0,0,0
"LOC107985029",1,1,4,1,2,10,23,4
"LOC107985031",13,22,11,17,0,2,5,2
"LOC107985034",961,1427,996,1219,148,369,371,138
"FMNL1-AS1",92,133,143,150,15,45,33,13
"LOC107985043",0,0,0,0,0,1,0,0
"LOC107985044",10,8,18,17,10,36,26,10
"LOC107985048",0,1,0,1,0,0,1,0
"LOC107985051",1,2,1,1,1,2,3,0
"SPNS2-AS1",0,0,0,1,0,1,0,0
"LOC107985057",10,27,2,5,20,57,19,9
"CUEDC1-AS1",0,2,0,0,9,10,8,1
"LOC107985068",0,0,0,1,0,0,0,0
"LOC107985072",1,0,0,0,0,0,1,0
"LOC107985074",1,1,0,0,0,0,0,0
"LOC107985075",43,78,28,65,3,12,9,4
"LOC107985077",0,1,0,1,0,1,0,0
"LOC107985079",0,2,3,1,0,0,0,0
"LROMI1",0,0,0,0,0,1,1,1
"LOC107985081",1,5,0,0,0,0,0,0
"LOC107985086",1,0,0,0,0,0,0,0
"LOC107985087",1,0,0,0,0,0,0,0
"LOC107985089",2,0,0,0,1,1,0,0
"LOC107985090",1,3,1,0,0,0,0,0
"ARHGAP29-AS1",1,4,3,0,23,64,95,33
"LOC107985093",0,1,0,0,1,3,6,4
"LOC107985096",0,0,0,0,1,1,4,0
"ZNF496-DT",23,22,21,17,29,62,33,12
"LOC107985116",0,0,0,1,0,0,0,0
"LOC107985118",2,0,0,0,0,0,0,0
"LOC107985119",0,0,0,1,5,9,7,4
"LOC107985129",0,0,0,0,0,0,1,0
"LOC107985134",0,0,0,0,3,1,3,0
"WDR7-OT1",13,18,8,19,4,12,20,5
"LOC107985142",0,0,1,0,0,0,0,0
"LOC107985144",0,0,0,0,2,2,8,1
"LOC107985145",0,0,0,0,4,9,23,3
"LOC107985147",1,2,0,5,4,11,2,5
"LOC107985149",0,2,0,1,1,5,4,2
"LOC107985152",20,33,15,19,1,7,2,2
"LOC107985154",105,135,101,106,8,24,20,5
"LOC107985155",0,2,1,1,0,0,0,0
"LOC107985156",2,1,6,2,1,2,2,2
"LOC107985162",8,5,2,3,0,1,1,0
"LINC03092",44,37,36,44,0,0,0,0
"LOC107985165",0,0,0,0,1,3,3,0
"LINC01768",0,0,0,1,0,1,0,0
"LOC107985172",0,0,1,0,0,0,0,0
"LOC107985174",0,0,1,0,0,0,0,0
"LOC107985176",1,0,1,1,0,0,0,0
"LINC02958",10,4,4,5,0,4,6,1
"LOC107985183",10,29,21,22,0,0,1,0
"LOC107985184",10,13,14,12,3,3,2,1
"LOC107985189",5,5,3,3,9,17,5,3
"LINC01779",0,0,0,0,0,3,0,0
"LOC107985192",1,3,7,2,4,6,6,1
"LOC107985193",3,4,1,2,11,28,19,6
"LINC02798",1,0,0,1,1,5,7,0
"LINC01691",1,1,0,1,0,3,1,1
"LOC107985200",104,158,85,79,78,223,237,79
"LOC107985201",48,58,28,39,40,95,58,23
"LOC107985203",20,10,3,8,8,16,5,3
"LOC107985204",1,2,0,0,0,0,1,0
"LOC107985206",0,1,0,0,1,0,0,0
"LOC107985207",15,32,20,28,3,6,4,1
"ARHGEF2-AS2",53,55,39,64,37,94,105,36
"ARHGEF2-AS1",0,0,0,3,0,0,1,0
"LOC107985211",0,0,2,1,0,0,0,0
"LOC107985216",10,7,9,11,44,135,65,31
"LOC107985219",142,211,134,136,108,259,234,83
"LOC107985220",0,0,0,0,0,0,1,0
"LOC107985223",2,0,0,0,0,0,0,0
"LOC107985224",0,3,1,2,0,3,2,0
"LINC02803",4,1,0,2,0,11,13,2
"LINC02818",13,21,12,20,0,1,4,1
"LOC107985231",0,0,1,2,0,0,0,0
"LOC107985232",0,0,0,1,0,0,0,0
"LOC107985236",1115,1400,1767,1732,25,98,129,55
"LOC107985238",0,2,0,2,2,0,0,0
"LOC107985244",0,0,0,0,1,1,2,0
"CSRP1-AS1",2547,2822,2047,2118,15,39,17,11
"LOC107985250",1,1,1,0,13,42,33,12
"LOC107985251",68,65,39,59,3,16,7,3
"LOC107985256",0,2,1,2,1,4,5,2
"LINC02602",0,0,0,0,1,3,2,0
"LOC107985259",32,23,16,13,7,20,14,3
"LOC107985260",1,0,0,1,2,3,15,2
"LOC107985261",0,0,0,0,3,1,5,1
"LOC107985278",0,1,0,0,2,4,9,5
"LOC107985279",8,7,4,10,2,12,10,2
"LOC107985282",1,9,1,8,0,1,1,0
"LOC107985285",15,19,11,6,0,0,0,0
"NFIX-AS1",11,7,1,7,0,3,1,0
"LOC107985289",32,38,47,37,3,10,4,1
"LOC107985291",2,0,7,4,2,7,6,0
"LIG1-AS1",3,0,0,3,1,8,2,1
"LOC107985295",17,17,18,14,6,13,19,6
"LOC107985303",133,197,184,199,8,11,7,3
"LOC107985304",1239,1183,1213,1433,106,284,279,96
"CEACAM16-AS1",30,38,18,18,1,8,3,1
"LOC107985306",0,0,2,6,4,12,2,3
"LINC01705",0,0,0,0,0,0,1,0
"TSHZ3-AS1",0,0,0,0,0,1,2,0
"LOC107985314",4,4,8,9,0,4,3,0
"LOC107985315",0,0,0,2,3,2,0,2
"LOC107985317",3,1,4,9,0,1,1,0
"LOC107985320",33,51,25,36,17,32,19,9
"LOC107985323",9,13,16,18,0,0,0,0
"GP6-AS1",67,64,64,92,8,10,8,1
"LOC107985334",4,5,4,3,2,5,9,4
"LOC107985337",0,2,5,3,0,0,0,0
"LINC02813",0,0,0,0,1,6,11,2
"LOC107985340",2,2,1,5,0,0,0,0
"LINC01836",3,2,0,3,12,26,15,2
"LOC107985345",1,0,0,0,0,0,0,0
"LOC107985352",0,0,0,0,2,7,4,0
"ACBD3-AS1",334,349,281,299,16,74,49,16
"LOC107985354",10,11,3,12,2,3,8,1
"LOC107985355",47,58,48,42,1,8,4,3
"LOC107985357",0,0,0,0,0,1,4,0
"LOC107985358",77,99,74,97,17,41,32,11
"CAPN9-AS1",5,3,3,4,0,0,0,0
"LOC107985360",11,28,28,51,10,14,26,5
"LOC107985361",53,67,44,38,5,17,5,5
"LOC107985362",4,5,5,1,2,3,4,0
"LOC107985363",0,1,2,2,25,63,50,15
"LOC107985365",2,1,0,0,0,2,0,0
"LOC107985372",3,1,3,3,0,0,0,1
"LOC107985377",1,1,0,0,0,0,0,1
"LOC107985382",6,2,5,6,0,0,0,0
"LOC107985383",3,1,0,0,0,0,0,0
"LOC107985385",0,0,0,0,0,2,1,0
"LOC107985386",1,0,0,0,0,1,2,0
"LOC107985388",52,57,45,99,50,119,125,47
"LOC107985392",2,0,0,0,2,6,6,0
"PANK2-AS1",27,49,15,39,6,34,10,7
"LOC107985400",53,60,52,49,7,35,21,14
"LOC107985401",4,2,0,0,13,70,50,26
"LOC107985402",1,2,1,0,0,0,0,0
"LOC107985404",3,7,4,8,9,26,39,17
"LOC107985405",112,140,99,113,32,93,91,26
"LOC107985409",0,0,0,0,192,558,825,282
"LOC107985410",3,0,0,1,44,135,89,28
"LOC107985414",13,30,20,23,4,20,18,4
"LOC107985416",5,3,2,5,2,4,21,2
"LOC107985420",3,4,1,6,0,0,0,0
"LOC107985423",525,527,311,386,8,23,12,7
"LOC107985433",0,2,0,0,0,1,0,0
"LOC107985434",0,2,0,0,1,1,0,1
"LOC107985435",0,0,0,0,4,5,9,1
"LOC107985436",1,1,0,1,0,2,0,0
"LOC107985438",2,8,4,5,2,3,4,2
"LOC107985439",0,0,1,0,0,0,0,0
"LOC107985440",1,0,2,1,0,0,0,0
"LOC107985442",1,2,0,0,0,0,0,0
"LOC107985447",2,1,0,0,0,0,0,0
"LOC107985448",1,0,0,0,0,0,0,0
"LOC107985449",0,0,0,0,0,2,1,0
"LOC107985452",0,0,0,0,0,0,2,1
"LOC107985460",0,0,0,0,1,0,0,0
"LOC107985465",0,0,0,0,0,0,1,0
"LOC107985466",0,0,0,0,1,2,2,0
"LOC107985467",0,1,0,0,2,8,10,0
"LOC107985469",0,0,0,0,1,0,1,0
"PEF1-AS1",6,10,10,13,0,6,2,1
"LOC107985474",2,0,0,0,4,10,22,9
"LOC107985478",0,0,2,0,0,0,4,2
"LOC107985480",2,3,0,3,5,9,7,2
"LOC107985483",0,0,0,0,0,1,4,0
"LINC02943",3,1,1,1,0,0,0,0
"LOC107985485",8,3,0,5,0,0,0,1
"LOC107985486",0,1,0,0,2,5,10,3
"LOC107985492",37,23,48,36,15,33,27,6
"LOC107985499",1,0,0,0,0,1,0,0
"LOC107985502",5,14,6,13,4,22,14,7
"LOC107985504",16,19,25,32,2,0,2,0
"LOC107985508",0,0,1,2,0,0,0,0
"LOC107985513",0,0,0,0,0,5,3,1
"LOC107985515",3,1,0,1,0,0,0,0
"LOC107985521",2,1,0,0,7,14,16,4
"LOC107985524",13,15,48,45,19,32,52,13
"LOC107985529",0,0,0,0,0,1,1,0
"LOC107985532",34,90,77,80,3,20,3,2
"LOC107985534",0,0,0,0,0,0,2,0
"LOC107985535",26,36,15,11,0,1,0,0
"LOC107985537",0,4,0,0,0,0,0,0
"SGSM3-AS1",4,9,2,2,3,10,1,0
"LOC107985541",33,36,2,12,0,1,1,0
"LOC107985544",196,179,162,202,11,32,26,9
"LOC107985549",14,9,1,0,0,3,0,2
"LOC107985551",6,5,1,3,2,1,1,0
"LOC107985554",0,0,0,0,0,4,0,0
"CCDC188BP",16,8,14,16,4,8,2,0
"LOC107985561",6,9,1,2,0,1,1,1
"LOC107985563",1,0,0,0,16,19,46,4
"LARGE1-AS1",0,0,0,2,3,3,3,0
"LOC107985567",331,365,233,286,29,104,60,31
"LOC107985568",12,25,11,14,3,10,3,1
"LOC107985573",0,0,0,2,0,0,0,0
"LOC107985576",2,0,0,0,0,1,0,0
"LOC107985577",1,1,1,1,0,4,1,0
"LOC107985579",0,0,0,0,2,0,0,0
"LOC107985580",2,0,4,0,1,0,0,0
"LOC107985581",0,1,0,0,0,0,0,0
"LOC107985584",5,11,2,2,5,16,9,2
"LOC107985588",4,2,0,5,1,3,3,1
"LOC107985590",4,7,2,4,0,1,3,2
"ANKRD35-DT",0,0,0,0,1,1,2,2
"LOC107985595",0,0,1,1,3,7,8,1
"TRNAV-CAC_dup1",0,0,0,0,1,2,1,0
"LOC107985634",2,2,2,2,0,0,0,0
"MAGEA6-DT",146,184,266,268,0,0,0,1
"LOC107985647",1,0,0,0,0,0,0,0
"LOC107985650",2,0,0,0,0,0,0,0
"LOC107985652",0,0,0,0,0,0,1,1
"LOC107985656",17,23,7,15,7,21,14,3
"LOC107985657",11,17,4,8,7,22,20,9
"LOC107985662",0,0,0,0,0,1,1,0
"LOC107985664",21,20,3,11,0,0,0,0
"LOC107985667",0,0,1,0,2,2,0,0
"LOC107985669",1,0,3,0,0,0,0,0
"LOC107985674",0,1,0,0,0,0,0,0
"LOC107985675",47,54,36,76,17,66,49,24
"LOC107985676",1,0,0,0,1,0,0,1
"LOC107985677",0,0,0,0,0,2,0,1
"LOC107985680",0,0,0,0,0,3,0,0
"LOC107985683",1,0,0,0,0,0,0,0
"LOC107985684",0,0,0,0,4,8,12,3
"LOC107985686",0,0,0,0,1,0,2,2
"LOC107985687",79,70,53,60,4,13,5,4
"LOC107985688",0,0,0,0,0,1,0,0
"LOC107985694",105,106,23,34,3,5,1,0
"LOC107985695",13,24,9,20,0,1,1,1
"LOC107985698",1,1,1,0,0,0,0,0
"LOC107985699",0,1,0,0,0,0,0,0
"LOC107985700",0,1,0,0,0,0,0,0
"LOC107985703",0,0,0,0,0,0,1,0
"LOC107985705",1,0,0,0,0,0,0,0
"LOC107985707",0,0,0,0,0,0,2,0
"LOC107985708",0,0,0,1,0,0,0,0
"LOC107985713",0,1,0,0,1,0,0,0
"LINC03113",0,0,0,0,1,2,0,0
"LOC107985720",96,140,75,64,1,5,5,0
"LOC107985725",0,2,0,0,1,1,3,0
"LOC107985728",233,276,589,705,9,25,31,7
"LOC107985729",91,95,272,298,2,2,4,0
"MIR1302-2HG",4,4,3,3,0,1,1,0
"LOC107985732",0,0,1,0,0,0,0,0
"LOC107985736",2,9,5,3,1,1,2,1
"MYOM3-AS1",0,0,0,0,0,2,2,0
"LINC02811",3,6,0,0,0,0,0,0
"LOC107985743",0,0,0,0,1,5,8,0
"LOC107985745",6,6,1,1,0,0,0,0
"TRG-CCC6-1",0,0,0,0,1,13,9,4
"TRN-GTT25-1",1,0,2,2,35,160,80,31
"TRQ-CTG3-1",0,0,0,0,0,0,0,1
"TRN-GTT24-1",0,2,0,0,6,17,13,10
"TRE-TTC4-1",0,0,1,0,0,0,1,0
"TRG-CCC4-1",0,0,0,0,0,1,0,0
"TRC-GCA7-1",2,1,4,6,1,0,0,1
"TRN-GTT7-1",0,0,0,0,1,2,5,1
"TRN-GTT11-1",1,0,0,0,0,2,0,0
"LOC107985766",0,1,0,0,0,0,1,0
"LOC107985767",21,19,8,14,2,11,7,1
"LOC107985769",0,0,1,1,11,23,17,9
"SMANTIS",2,0,2,2,5,8,5,2
"LOC107985771",0,0,0,0,0,2,0,0
"LOC107985774",0,1,0,0,0,0,0,0
"LOC107985776",0,0,0,0,2,0,0,1
"LOC107985779",1,0,0,0,0,0,2,1
"FSIP2-AS1",1,0,2,1,9,13,35,10
"LOC107985784",8,1,1,4,0,6,5,2
"LOC107985785",20,31,8,24,7,10,6,5
"LOC107985787",23,24,25,60,2,5,1,3
"LOC107985788",6,5,2,7,1,2,3,2
"KMT2CP5",4,5,5,12,1,2,5,1
"LOC107985807",3,0,0,2,0,0,0,0
"LOC107985809",0,3,0,0,5,20,0,0
"LOC107985810",1,0,0,0,0,1,0,0
"LOC107985815",0,0,0,1,0,0,9,0
"LOC107985822",0,0,0,0,2,1,3,0
"LOC107985828",0,0,0,0,0,0,1,0
"LOC107985830",1,0,0,0,0,1,1,0
"LOC107985831",0,0,0,0,0,1,0,0
"LOC107985835",0,0,0,0,0,0,1,0
"LOC107985839",7,9,6,12,0,1,0,1
"LOC107985840",27,15,14,7,5,13,7,0
"LOC107985841",12,15,14,17,0,1,0,0
"LOC107985842",0,0,0,0,0,0,1,0
"LOC107985843",0,0,1,4,0,0,0,0
"LINC01824",0,0,0,2,0,0,0,0
"LOC107985847",5,0,0,2,0,0,0,0
"LOC107985848",0,2,0,0,0,0,0,0
"LOC107985853",0,0,0,0,0,1,0,0
"LOC107985856",0,1,1,1,0,0,1,0
"LOC107985861",0,0,0,1,0,1,0,0
"LOC107985862",0,1,0,0,0,0,0,0
"LOC107985863",2,0,1,0,0,0,1,0
"LOC107985868",0,0,0,0,4,40,12,4
"LOC107985869",1,1,3,2,4,4,1,1
"LOC107985870",3,0,6,4,2,4,4,0
"LOC107985871",5,8,5,2,0,4,3,1
"LOC107985876",0,1,0,0,2,1,0,1
"LINC01833",0,0,1,0,42,103,67,24
"LOC107985880",0,0,0,0,0,2,1,0
"LOC107985882",2,1,0,0,0,1,0,0
"PPP4R3B-DT",10,10,9,13,6,14,17,2
"LOC107985889",0,0,0,0,0,1,0,1
"LOC107985890",0,0,0,0,0,0,1,0
"LOC107985891",0,0,0,0,0,0,0,1
"PPP3R1-AS1",2,2,0,0,1,4,2,3
"LOC107985895",0,0,0,0,0,5,17,2
"LOC107985897",6,3,3,5,5,10,12,1
"LOC107985900",0,0,0,0,0,3,0,2
"LOC107985903",0,0,0,0,0,1,0,0
"LOC107985908",4,1,0,0,0,0,1,0
"LOC107985909",7,9,2,8,26,60,51,13
"LOC107985911",175,233,125,127,161,469,456,152
"LOC107985915",46,55,27,23,6,18,9,2
"LOC107985920",1,0,2,2,0,1,2,0
"LOC107985922",0,4,0,0,0,0,0,0
"LOC107985923",58,77,38,68,5,13,10,2
"LINC01868",0,0,0,0,0,1,0,0
"LINC01870",0,0,0,0,1,3,0,0
"LOC107985926",1,0,0,0,0,0,0,0
"LOC107985931",4,8,6,2,3,12,13,1
"LOC107985933",1,4,0,1,0,0,0,0
"LOC107985934",1,0,0,0,10,39,67,25
"LOC107985936",0,0,0,0,0,2,0,0
"LOC107985939",168,201,134,162,22,47,60,14
"LOC107985940",1,0,0,0,0,0,0,2
"LOC107985941",0,2,1,0,0,0,0,0
"CLASP1-AS1",2,4,3,6,7,16,16,8
"LOC107985944",47,110,38,38,0,4,1,0
"LOC107985946",54,59,46,49,32,69,43,17
"LOC107985948",1,3,0,0,3,7,4,1
"LOC107985953",2,1,0,0,0,0,0,0
"LOC107985957",2,8,2,0,4,7,10,2
"LOC107985959",10,16,24,33,2,7,6,1
"LOC107985960",0,0,0,0,0,1,0,0
"LOC107985968",0,0,0,1,0,0,0,0
"LOC107985972",1,0,1,1,7,19,9,4
"LOC107985977",9,11,15,38,1,9,2,1
"LOC107985980",0,1,0,0,2,5,10,1
"MARCHF4-AS1",0,0,0,0,0,0,3,0
"LOC107985984",1,0,0,0,0,0,0,0
"SMARCAL1-AS1",0,0,0,1,0,0,0,0
"LOC107985987",0,0,0,1,0,1,1,0
"LOC107985991",0,0,0,0,2,5,1,2
"LOC107985992",0,0,0,1,0,1,0,0
"LOC107985994",0,0,0,0,1,0,1,0
"LOC107985996",0,0,0,0,0,7,3,0
"LOC107985998",17,18,14,14,1,2,0,0
"LOC107986002",1,0,0,0,0,0,0,0
"LOC107986003",252,364,214,218,38,92,81,31
"LOC107986010",0,0,2,0,3,11,6,5
"LOC107986011",1,3,2,2,0,2,0,4
"LOC107986012",0,0,0,0,1,0,0,0
"LOC107986015",0,0,2,0,3,5,5,0
"LOC107986018",0,0,0,0,2,2,5,4
"LOC107986019",1,0,0,0,0,0,0,0
"LOC107986021",0,2,0,1,1,0,4,1
"LOC107986023",13,10,10,5,2,10,7,5
"LOC107986025",8,6,10,0,0,2,3,0
"LOC107986027",1,8,19,22,0,2,1,0
