"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"ARSL",0,0,0,0,15,39,24,14
"ARSF",0,1,1,0,0,0,0,0
"ART1",0,2,4,1,0,0,0,0
"ART3",0,2,0,1,0,1,0,0
"ART4",2,0,0,1,1,1,3,0
"ARVCF",488,1003,604,722,55,108,72,26
"ASAH1",7969,9099,11115,12942,964,2715,2458,821
"ASCL1",0,0,2,0,0,3,3,0
"ASCL2",5,7,24,38,0,0,1,0
"ASGR1",11,15,21,13,2,11,6,4
"ASGR2",0,0,0,2,0,2,0,0
"ASIP",11,19,14,17,5,11,7,5
"ASL",740,846,809,1032,76,137,173,63
"ASMT",439,518,508,547,8,25,34,9
"GET3",3122,3653,2641,3102,1252,3468,2178,770
"ASNS",3392,6525,1640,1788,81,253,137,50
"ASPA",8,12,9,5,0,0,0,0
"ASPH",9724,9097,7318,7543,3561,10416,13771,4457
"ASS1",3473,5354,3930,4139,103,322,181,57
"ASTN1",15,42,10,18,1,0,0,0
"SERPINC1",9,2,6,1,0,0,0,1
"ZFHX3",4575,5336,6828,8036,346,1108,1209,389
"ATF1",1565,1789,1795,1937,250,631,654,237
"ATF3",3555,4237,2532,2885,40,104,67,17
"ATF4",16958,28675,11817,13500,1178,3176,3772,1140
"ATIC",8183,10384,6384,7773,529,1405,900,323
"ATM",1905,1934,1514,1797,698,1861,2013,669
"RERE",2196,2833,4913,5273,287,831,738,219
"ATOH1",0,0,0,1,0,0,0,1
"ATOX1",1102,1924,944,1140,175,409,269,119
"ATP1A1",16905,19830,37041,45871,6401,17752,19521,6063
"ATP1A2",7,5,30,22,9,23,30,17
"ATP1A3",15,36,32,28,21,67,133,49
"ATP12A",25,28,6,5,1,4,4,2
"ATP1A4",3,0,10,3,0,1,0,0
"ATP1B1",2536,4600,7952,8746,825,2344,7203,1870
"ATP1B2",2,2,2,0,1,9,7,2
"ATP1B3",4316,4755,5995,8101,327,872,1083,298
"ATP2A1",152,220,116,151,14,31,24,5
"ATP2A2",14145,17287,13629,15426,1303,3483,5849,2169
"ATP2A3",3,3,11,3,17,55,51,18
"ATP2B1",4417,4752,3361,3862,1010,2822,3161,963
"ATP2B2",2,5,2,4,20,43,36,5
"ATP2B3",3,3,2,1,0,0,0,0
"ATP2B4",4131,4167,5413,6112,1732,4824,7023,2548
"ATP4A",4,5,23,36,0,0,0,0
"ATP4B",67,124,64,56,0,0,0,0
"ATP5F1A",17546,24886,14739,17384,1590,4131,4210,1308
"ALDH7A1",0,0,1,0,515,1299,1199,406
"ATP5F1B",31059,43745,26691,30104,3767,9669,8891,3047
"ATP5F1C",12933,14332,10400,12079,1608,4517,4683,1529
"ATP5F1D",2227,3500,1652,2220,281,629,464,159
"ATP5F1E",4757,6422,4134,4558,172,469,458,151
"ATP5PB",11652,12990,7918,9601,2271,6020,6023,2013
"ATP5MC1",2222,3770,1021,1086,630,1627,830,362
"ATP5MC2",3170,6573,2359,2531,1125,2566,1696,728
"ATP5MC3",4281,5865,3371,3699,1279,3149,2687,936
"ATP5ME",3642,5672,2533,3002,416,1162,976,340
"ATP5PF",9039,10695,8375,9607,1312,3335,3303,1103
"ATP6V1A",5063,5758,5117,6419,881,2340,2332,675
"ATP6V1B1",9,10,2,5,2,18,0,1
"ATP6V1B2",3956,4616,2857,3813,1074,2625,2555,891
"ATP6V0C",6701,9341,6089,6926,174,495,542,156
"ATP6V1C1",2111,2067,1973,2287,1465,3881,4175,1335
"ATP6V1E1",2610,3441,2112,2446,595,1523,1370,505
"ATP6V0B",1915,3234,2176,2328,415,1003,727,231
"ATP6V1G2",121,159,111,104,7,15,11,7
"ATP6V0A1",2512,3203,2444,2881,4,9,2,5
"ATP6AP1",2517,3303,2743,3206,424,1099,991,357
"ATP7A",1380,1457,1485,1616,51,146,130,48
"ATP5PO",2819,4313,3024,3542,797,1958,2579,895
"ATP7B",339,459,455,521,54,128,128,39
"ATR",2378,2687,1669,2148,482,1314,1005,331
"ATRX",9928,10308,15713,17282,193,628,754,164
"KIF1A",4434,6241,7371,8465,36,104,146,31
"AUH",3253,3763,1880,2263,121,408,452,140
"AUP1",2912,3928,2220,2575,1191,3044,2033,690
"AVP",0,1,0,0,0,0,1,0
"AVPR1B",0,0,0,0,13,24,9,5
"AVPR2",0,0,2,1,0,0,0,1
"AXL",4,13,8,6,2187,5858,5120,2138
"AZGP1",4426,4955,5835,7394,1,0,0,0
"AZU1",1,0,0,0,0,0,0,0
"B2M",23850,25749,20612,25591,4799,13156,16444,5137
"BAAT",7,8,9,9,6,13,12,2
"BACH1",842,790,1212,1421,407,1088,1979,659
"BAD",484,1090,574,624,155,299,270,94
"BAG1",1025,1259,1397,1670,70,214,223,69
"ADGRB1",28,25,29,32,40,128,125,57
"ADGRB2",81,138,164,163,166,389,283,93
"ADGRB3",0,0,0,0,12,30,22,13
"BAK1",544,794,563,705,203,525,434,153
"NKX3-2",31,57,32,56,1,10,3,2
"BARD1",3153,3361,1660,1865,338,842,840,304
