"","LNCaP_EV_Normoxia_rep1","LNCaP_EV_Normoxia_rep2","LNCaP_OC2_overexpress_Normoxia_rep1","LNCaP_OC2_overexpress_Normoxia_rep2","LNCaP_EV_Hypoxia_rep1","LNCaP_EV_Hypoxia_rep2","LNCaP_OC2_overexpress_Hypoxia_rep1","LNCaP_OC2_overexpress_Hypoxia_rep2","PC3_siCtrl_Normoxia_rep1","PC3_siCtrl_Normoxia_rep2","PC3_siOC2_Normoxia_siRNA1","PC3_siOC2_Normoxia_siRNA2","PC3_siCtrl_Hypoxia_rep1","PC3_siCtrl_Hypoxia_rep2","PC3_siOC2_Hypoxia_siRNA1","PC3_siOC2_Hypoxia_siRNA2"
"LOC101929128",2,1,0,1,1,1,6,4,10,28,102,157,40,14,10,131
"LOC101929129",5,3,2,1,2,2,5,3,0,1,0,2,0,0,0,1
"PIGY-DT",16,8,12,13,6,2,10,1,1,1,2,1,0,1,3,2
"KBTBD6-DT",45,25,17,11,12,5,12,11,3,13,9,8,5,3,3,8
"LOC101929141",43,44,28,40,49,45,55,37,1,4,8,3,3,1,4,8
"PPP3CB-AS1",451,477,253,348,413,488,425,346,43,84,71,50,51,24,12,40
"WARS2-AS1",371,502,201,358,371,422,315,247,38,91,170,90,93,21,48,71
"DENND6A-DT",12,16,15,12,16,13,17,12,2,6,6,2,10,2,0,6
"PRDM4-AS1",77,83,27,43,67,74,76,60,15,58,77,47,40,15,9,48
"LOC101929174",1,2,0,3,0,0,1,0,10,30,8,8,15,4,1,4
"LOC101929178",6,10,4,7,0,1,5,1,1,7,0,4,3,1,0,3
"LINC01388",96,103,73,133,116,175,115,124,1,8,11,6,10,1,1,8
"LINC01647",30,41,43,62,7,24,25,8,0,1,0,1,0,0,0,1
"LOC101929185",590,744,383,495,777,752,801,536,311,815,348,481,749,254,163,501
"ITPR3-AS1",256,283,188,292,411,460,298,214,44,92,134,81,100,42,25,113
"LINC02261",2,8,1,4,0,1,0,2,6,15,20,222,7,5,0,170
"LOC101929200",63,111,60,83,91,107,77,64,30,107,70,64,52,19,25,60
"LOC101929201",10,25,10,7,24,12,19,12,7,12,12,27,13,8,5,19
"LOC101929204",27,32,3,30,31,36,26,24,11,30,33,29,23,13,5,30
"SMIM2-AS1",34,33,13,28,60,71,30,42,3,12,10,16,13,5,2,10
"THBS4-AS1",13,21,12,22,9,11,13,15,0,1,2,1,3,0,4,1
"DDX59-AS1",13,31,15,16,16,5,12,7,4,3,5,8,1,0,1,1
"MCM8-AS1",7,8,4,6,10,9,7,2,5,20,12,17,13,5,6,17
"LOC101929230",9,4,0,3,8,7,5,6,0,0,1,4,0,0,0,3
"MMADHC-DT",7,19,2,8,8,12,10,6,8,24,48,19,15,5,12,17
"LOC101929234",39,62,39,76,68,58,77,62,22,34,72,56,23,14,14,53
"PEBP4-AS1",12,26,8,8,5,10,15,12,0,1,0,0,1,0,0,0
"LOC101929240",140,173,69,111,146,165,185,135,4,21,69,28,23,6,30,40
"ILRUN-AS1",281,372,173,302,188,201,246,163,12,44,27,38,25,10,6,46
"LOC101929255",7,8,2,4,6,7,10,5,4,3,6,5,3,2,3,4
"LOC101929256",4,3,1,1,1,2,2,0,3,10,6,11,4,3,0,20
"LOC101929270",17,25,10,16,23,16,32,16,2,15,7,2,9,2,3,5
"DTNB-AS1",56,116,40,57,69,94,132,74,4,12,23,12,15,1,4,5
"LOC101929278",103,129,103,135,56,84,54,61,1,1,1,3,3,1,1,2
"SCUBE3-AS1",22,36,17,29,21,33,37,31,28,90,133,70,49,15,14,52
"KCNMA1-AS3",9,4,3,2,1,4,4,1,13,27,37,35,42,10,9,64
"MTMR9-AS1",12,12,3,6,16,21,11,10,1,4,3,3,2,0,2,1
"LOC101929291",58,51,32,29,34,46,23,25,4,8,23,19,8,5,5,12
"ADAM7-AS1",9,0,6,5,48,50,12,27,1,2,0,2,2,0,0,4
"LNCRNA-IUR",6,16,7,6,10,7,5,1,2,8,9,10,11,3,4,10
"LOC101929298",5,7,2,5,4,4,3,4,2,5,6,5,4,1,0,8
"RFX3-DT",7,14,4,8,4,6,13,10,2,2,1,4,1,0,2,7
"LOC101929305",0,0,8,3,1,1,2,0,0,1,9,4,0,0,1,2
"LINC03135",1,4,1,0,5,5,0,2,0,1,8,4,1,0,0,0
"LOC101929314",37,62,18,39,39,47,37,49,9,23,19,18,28,9,9,28
"ADAM7-AS2",59,51,52,77,147,174,113,118,1,0,0,0,0,0,0,0
"LOC101929322",11,13,8,10,9,8,17,6,35,105,41,107,65,15,15,83
"KCNMA1-AS1",12,9,3,15,7,9,4,4,11,8,12,8,15,10,1,21
"ADAMTS9-AS1",0,1,0,0,0,1,0,3,2,3,2,4,1,0,0,5
"ESAM-AS1",12,18,14,18,29,32,25,25,3,20,7,8,11,9,6,18
"LOC101929343",531,532,287,524,875,965,773,623,5,8,3,41,1,3,0,26
"LOC101929347",1,0,2,0,0,0,1,0,4,6,3,8,2,0,0,5
"CDC37L1-DT",122,120,124,97,47,35,75,52,6,8,8,5,6,2,4,7
"HP09053",89,156,65,74,62,62,80,33,37,86,59,37,37,18,16,35
"LOC101929372",9,11,7,11,9,15,7,10,1,2,9,3,5,2,4,6
"LINC01876",38,37,21,21,19,29,34,9,4,18,14,17,6,2,2,14
"LMF1-AS1",9,5,6,8,8,8,10,4,0,4,0,3,1,0,0,2
"LOC101929388",1,0,1,1,0,0,0,0,4,7,0,2,4,2,0,9
"LINC01752",7,5,4,10,10,1,1,2,1,2,5,3,3,2,0,0
"LINC01518",118,141,49,102,69,69,70,36,1,0,1,1,0,0,0,3
"LOC101929400",9,7,5,5,9,9,9,3,2,3,2,1,0,0,0,5
"EXTL3-AS1",14,10,10,21,13,10,13,4,2,1,1,4,2,1,0,1
"MEF2C-AS1",4,8,5,2,3,6,4,8,2,5,4,11,7,3,0,5
"KIRREL3-AS4",1,0,0,3,0,1,1,0,0,9,17,15,3,0,0,16
"LOC101929431",19,27,15,30,28,22,20,12,7,27,30,17,17,5,3,14
"LOC101929439",19,21,7,4,1,8,11,4,2,1,0,1,2,0,1,0
"UNKL-AS1",84,125,87,135,79,108,162,94,0,6,2,1,3,1,1,2
"ERLNC1",0,1,0,2,3,6,3,1,14,16,18,40,13,6,4,18
"LOC101929444",19,46,32,31,12,9,62,34,1,6,3,5,4,3,1,8
"LINC02099",2,4,3,1,1,1,1,2,0,1,0,6,2,1,3,1
"TMCC2-AS1",2,1,3,3,0,4,0,3,3,3,5,2,2,3,0,0
"PHC2-AS1",10,19,18,14,12,12,25,5,3,10,3,9,12,6,2,7
"LURAP1L-AS1",0,0,0,0,1,0,1,0,1,11,11,9,5,2,3,21
"TEX52",16,25,12,16,4,6,23,10,0,0,0,3,2,0,0,0
"LOC101929470",0,2,3,2,1,0,9,2,0,1,4,30,1,0,0,14
"ITGB1-DT",108,141,52,84,53,58,93,57,155,357,589,226,445,168,110,297
"LOC101929479",1072,1324,606,802,1975,2182,1602,1143,107,275,222,237,230,78,32,222
"MAPK8IP3-AS1",0,3,0,6,0,3,1,2,5,8,6,9,4,0,6,5
"LINC01615",0,0,1,0,0,0,0,0,1,4,10,11,5,3,1,11
"LOC101929494",2,1,2,1,0,1,3,2,1,0,2,1,0,1,0,0
"LINC02150",9,5,3,4,4,2,6,0,0,0,0,3,3,0,1,0
"LINC01970",29,23,19,23,20,33,29,14,3,8,8,14,1,0,1,3
"PSMD14-DT",0,0,1,2,0,0,0,1,4,4,4,1,2,1,0,3
"PABPC4-AS1",587,753,304,482,485,597,526,360,48,112,120,125,122,39,36,115
"THBS2-AS1",36,53,12,32,37,55,50,30,1,5,9,8,1,1,0,5
"RETREG1-AS1",21,23,17,18,18,31,39,24,2,2,7,4,1,2,0,4
"LOC101929534",5,3,2,8,4,2,5,1,0,6,6,3,2,1,8,7
"LOC101929536",2,2,1,0,0,1,3,2,3,4,1,1,1,0,0,7
"LOC101929540",83,73,36,58,91,99,84,66,11,36,43,28,23,6,6,19
"LINC02608",6,7,3,11,4,1,4,1,1,1,1,3,2,0,1,6
"PRKD3-DT",6,6,2,2,13,9,11,4,2,10,13,11,5,6,4,13
"FOCAD-AS1",22,8,6,6,7,5,9,4,1,3,2,8,5,1,0,0
"GAU1",7,5,10,9,10,10,30,9,0,5,9,6,5,0,1,3
"LOC101929550",6,4,1,5,1,0,4,2,0,4,4,3,0,0,0,0
"LOC101929552",28,40,26,35,26,13,36,13,1,1,3,5,2,0,0,1
"LOC101929555",34,32,9,23,159,120,59,57,4,17,22,7,5,0,17,12
"LOC101929563",34,40,12,43,30,43,35,19,9,18,29,34,44,15,20,49
"LINC01740",4,0,1,0,1,4,2,4,0,1,3,1,1,0,0,1
"LOC101929566",61,81,32,50,61,53,61,34,9,21,10,9,10,5,0,13
"LINC01814",17,21,8,10,5,7,10,7,4,8,17,18,9,1,1,11
"LOC101929577",3,12,7,2,3,5,7,4,0,1,5,2,1,2,0,2
"GTF2IP23",110,127,64,119,101,114,151,113,7,16,23,12,10,4,3,11
"LOC101929583",2,1,0,0,0,1,0,1,1,6,6,9,3,3,0,9
"LINC02443",0,1,0,1,5,2,5,4,0,2,1,2,7,0,0,1
"ARNT2-AS3",3,8,3,2,7,8,10,7,4,3,5,4,2,0,3,4
"KIZ-AS1",5,1,0,1,1,0,2,6,2,12,17,10,5,1,3,6
"ST3GAL3-AS1",1,1,0,0,2,1,3,0,1,2,4,1,0,2,0,0
"LOC101929594",0,3,0,0,1,0,0,2,19,63,57,39,58,24,20,45
"CYP2U1-AS1",33,42,21,17,31,28,19,23,4,3,3,5,4,1,0,5
"LOC101929599",24,29,13,24,20,26,31,21,1,7,5,3,5,1,1,2
"IFT74-AS1",0,0,0,4,3,0,1,0,0,2,4,1,1,2,1,5
"LINC01990",4,1,0,1,4,0,3,4,1,0,2,1,1,0,0,1
"LOC101929609",133,200,77,163,176,226,179,139,23,30,53,42,27,16,10,31
"LOC101929614",457,608,365,473,644,753,748,499,0,0,1,0,0,0,0,0
"LINC01215",0,0,3,1,0,0,2,1,1,2,17,11,9,4,2,9
"LOC101929626",139,138,74,130,65,78,146,76,1,2,4,8,2,2,0,9
"LINC02842",5,6,0,6,0,0,1,1,1,1,1,0,0,1,0,1
"LOC101929633",33,27,16,23,66,65,22,18,0,0,2,0,0,0,1,7
"LOC101929638",11,24,13,22,16,17,33,21,2,7,5,10,2,1,2,11
"B4GALT1-AS1",80,94,52,54,34,47,66,29,3,6,9,3,12,3,3,4
"LOC101929643",70,88,45,71,68,90,117,64,10,32,31,22,55,26,4,26
"LINC01398",2,1,3,1,0,0,0,1,1,3,11,2,2,1,0,5
"TMC3-AS1",64,70,21,51,31,16,30,8,8,14,22,4,18,2,5,4
"HORMAD2-AS1",15,22,13,11,12,19,26,17,4,10,8,12,11,4,4,15
"LINC02883",19,17,17,24,13,27,50,24,3,8,5,3,2,0,3,2
"SCN1A-AS1",1,0,0,0,1,1,0,0,3,6,16,9,9,2,9,13
"UBE2R2-AS1",3,4,7,6,2,1,3,8,1,2,3,25,4,0,0,21
"LINC01583",1,3,1,0,1,0,0,1,8,37,116,53,89,24,84,97
"LOC101929691",50,32,17,56,37,39,67,44,24,55,37,92,66,24,8,66
"LOC101929692",4,2,1,3,3,2,3,2,0,1,0,0,1,0,1,0
"RARA-AS1",26,57,32,43,46,53,44,24,8,24,38,18,19,5,8,11
"LOC101929698",0,0,0,0,1,1,3,1,1,2,9,7,10,2,3,9
"LOC101929703",27,38,13,23,23,28,31,27,6,30,37,22,10,2,6,11
"TTC23L-AS1",146,158,107,117,96,148,216,116,4,10,22,20,18,3,9,19
"SCIRT",164,143,97,177,177,200,266,167,39,92,44,39,105,72,10,45
"LOC101929707",24,31,11,20,3,11,11,8,0,1,5,5,1,0,0,1
"PARAIL",125,128,61,88,151,165,111,107,97,332,706,421,380,131,198,509
"ODC1-DT",105,111,42,79,79,97,85,34,3,15,7,21,9,4,0,14
"ARMC2-AS1",3,0,6,4,4,2,3,2,0,1,0,1,0,1,0,0
"LINC02044",0,7,2,2,0,1,1,0,1,3,4,6,7,1,1,7
"LOC101929718",248,362,143,226,381,408,393,270,38,126,161,106,106,39,40,128
"LOC101929719",0,0,0,2,1,0,1,1,1,1,1,2,1,1,0,4
"LOC101929732",14,21,10,19,6,9,3,8,2,9,1,3,0,2,0,2
"LINC01372",11,17,6,9,15,23,18,14,1,3,4,4,5,1,1,2
"METTL14-DT",3,6,2,9,6,3,5,5,0,0,0,1,1,0,0,1
"ZNF341-AS1",16,14,9,14,10,18,23,16,1,3,7,5,1,0,0,3
"LOC101929748",2,1,3,3,0,1,1,2,4,5,1,15,3,1,0,14
"LOC101929752",2,6,9,6,0,8,5,6,0,3,0,2,1,2,0,1
"LOC101929756",2,0,3,1,0,0,3,0,2,0,0,4,3,0,2,4
"PIK3IP1-DT",16,11,11,16,12,12,14,5,2,10,7,1,2,1,1,1
"LOC101929762",1,0,2,0,3,1,3,1,0,0,4,0,0,1,0,4
"LINC01585",0,1,2,3,0,0,0,0,1,2,5,1,1,0,0,1
"LOC101929767",145,183,102,183,155,150,221,158,8,33,39,33,20,9,4,25
"OSMR-DT",1,3,2,2,2,1,1,1,1,2,3,0,1,1,0,1
"LINC01063",31,24,19,24,7,8,20,11,0,5,3,7,3,0,0,0
"LOC101929770",12,23,5,7,3,11,11,7,6,18,12,20,11,4,1,12
"NBPF25P",337,473,213,339,360,392,475,344,179,474,469,364,477,168,112,392
"LOC101929788",2,4,3,2,1,3,3,2,1,3,3,2,3,1,0,3
"LOC101929790",4,5,3,2,5,2,8,2,1,5,6,4,6,1,0,5
"NOTCH2NLR",40,57,23,32,35,29,40,17,32,88,56,71,58,17,8,49
"PDE4DIPP4",17,17,7,17,19,20,20,11,1,10,16,6,12,3,9,6
"LOC101929800",13,18,11,11,10,14,10,5,0,1,3,2,2,1,0,0
"LOC101929805",0,2,2,5,1,0,2,0,0,1,0,1,1,1,0,1
"LOC101929814",2,4,2,2,3,2,4,5,0,1,1,7,1,0,1,7
"LOC101929819",85,94,36,57,68,70,95,53,6,28,27,27,25,10,4,17
"LOC101929823",55,69,34,40,74,74,87,59,11,28,47,25,30,13,9,22
"LINC01632",5,9,3,4,5,3,7,13,0,1,2,13,1,1,0,17
"LOC101929828",24,19,15,19,36,43,41,29,5,13,13,9,15,4,3,11
"LOC101929846",11,14,11,13,3,4,8,3,4,11,10,11,13,6,1,16
"LINC02597",0,1,3,0,0,0,2,2,2,4,5,2,13,6,0,1
"KLF11-DT",21,22,14,16,10,13,17,0,0,2,1,2,0,0,0,3
"LOC101929894",7,6,5,6,5,6,5,6,1,4,2,2,3,1,0,3
"IKBKB-DT",0,1,0,1,0,0,2,0,2,0,6,4,13,3,2,1
"LOC101929898",24,21,14,16,13,17,16,10,4,6,10,5,7,3,0,5
"FOXO6-AS1",2,0,0,2,0,2,4,2,2,11,3,5,1,1,0,1
"LOC101929908",3,2,0,0,0,1,1,0,0,3,3,3,3,1,0,0
"LOC101929918",88,111,65,99,74,85,87,73,16,30,29,22,16,5,6,19
"LOC101929937",37,87,21,51,58,47,60,34,21,52,85,38,51,20,12,37
"ITGA6-AS1",5,1,1,3,5,11,8,9,1,0,2,0,7,1,3,1
"LOC101929950",331,275,166,295,285,340,426,295,47,149,250,117,297,103,96,184
"BMS1P14",106,112,59,94,103,114,123,82,29,74,132,122,65,28,28,118
"LOC101929974",69,66,30,37,63,49,77,37,0,0,11,1,0,0,0,6
"LOC101929976",1,2,2,1,0,2,1,1,1,0,3,0,1,1,0,0
"MARCHF6-DT",410,483,252,328,267,298,380,172,17,42,33,39,38,8,5,30
"LITAFD",3,1,1,2,3,3,1,0,1,11,9,11,2,2,1,2
"DST-AS1",0,0,0,0,0,0,1,0,5,16,22,4,24,7,3,8
"LOC101930053",26,42,8,13,79,54,65,54,0,0,7,2,2,3,2,1
"LOC101930071",56,97,33,47,25,30,31,25,3,11,11,6,3,5,2,4
"HERPUD2-AS1",1475,1634,809,1108,785,1009,1173,770,87,219,173,362,105,31,24,305
"RSPH1-DT",25,18,9,17,16,25,33,16,1,2,3,2,3,0,0,7
"LOC101930100",71,84,44,58,69,83,87,52,5,18,13,20,8,3,2,9
"FAM239A",859,844,425,714,761,940,1085,739,23,66,65,42,59,21,15,55
"LOC101930112",102,91,60,111,88,88,108,77,11,23,27,39,26,5,10,25
"HSD11B1-AS1",3,4,0,1,0,0,3,0,2,6,4,1,4,4,5,5
"LOC101930129",35,31,23,31,63,70,59,41,11,22,28,12,26,8,6,20
"MTUS1-DT",149,145,70,92,65,79,75,34,17,31,59,38,91,44,34,60
"GALNT7-DT",113,139,52,87,96,117,95,66,21,56,75,34,37,14,5,19
"LOC101930420",165,177,117,157,94,86,118,74,61,190,234,141,206,78,49,169
"DIP2C-AS2",0,0,1,2,4,0,3,2,0,1,2,1,0,1,0,0
"LOC101930434",4,3,4,2,2,2,2,2,1,2,2,2,2,1,1,2
"LINC02367",41,40,15,11,22,11,20,17,0,0,0,1,0,0,0,3
"LOC101930496",1,3,5,7,2,2,10,7,0,2,6,0,0,1,0,2
"DNAAF3-AS1",10,6,3,10,11,27,9,10,4,5,15,20,8,7,1,13
"LOC101930665",0,3,2,2,1,0,1,1,1,1,1,1,0,1,0,1
"LINC00367",2,2,0,2,1,1,2,2,0,0,0,1,1,0,0,1
"LINC00397",1,0,1,2,0,3,0,0,8,8,10,6,12,0,1,1
"RNVU1-4",0,0,0,0,0,0,0,1,3,21,20,16,19,7,6,26
"RNVU1-14",34,53,47,57,9,8,21,12,99,255,266,216,328,107,68,309
"RNVU1-15",14,25,15,18,14,14,7,9,24,111,124,80,115,41,29,132
"RNU6-9",15,5,14,20,9,2,12,9,2,4,3,3,4,0,0,2
"RNVU1-3",23,18,19,37,7,4,11,9,4,20,24,12,9,5,8,19
"RNVU1-1",6,7,2,6,4,9,17,10,0,1,1,2,5,5,2,6
"RNVU1-6",0,0,0,2,0,2,0,0,2,29,31,28,24,10,2,34
"RNVU1-19",3,2,1,1,0,3,1,3,53,256,271,229,276,104,55,311
"RNU6-8",12,30,5,11,5,14,15,11,12,30,12,15,35,15,5,18
"LINC00970",2,5,0,0,0,1,2,0,0,5,4,1,3,1,4,4
"PCAT14",6,4,54,38,73,77,169,116,0,4,0,3,0,0,0,2
"EPC1-AS1",2,0,1,0,0,1,2,2,8,18,22,21,17,4,2,14
"RASSF1-AS1",44,53,26,39,40,35,33,24,3,3,6,4,6,3,2,8
"C2-AS1",0,7,3,12,8,8,11,7,1,0,1,6,2,0,0,1
"PCBP2-OT1",414,648,209,347,433,494,478,334,53,160,203,87,99,31,40,75
"AK6",1984,2127,1020,1617,1272,1469,1353,1089,104,236,385,203,247,69,79,261
"FBXW7-AS1",6,8,2,11,7,12,10,8,1,3,5,7,3,2,2,7
"SPACA6-AS1",23,28,12,21,101,82,66,60,12,35,30,16,70,26,37,38
"C11orf98",1424,2022,858,1450,1039,1255,1211,844,210,654,622,462,366,130,76,324
"MIR6080",3,4,2,3,4,6,10,6,0,1,3,1,0,0,0,0
"MIR6084",1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1
"MIR6125",23,13,10,11,6,12,7,3,3,6,10,6,2,1,0,4
"MIR6126",10,21,4,7,16,28,14,12,1,4,7,7,2,0,2,2
"MIR6501",42,44,22,40,48,49,48,36,7,16,23,27,14,5,4,19
"MIR6506",21,25,8,14,20,13,22,15,0,1,1,0,1,0,0,0
"MIR6513",11,9,4,6,13,13,12,8,1,0,1,1,2,1,2,1
"MIR6514",1,1,1,3,7,1,2,1,0,2,0,1,0,0,0,2
"MIR6717",12,17,13,11,9,15,12,12,2,1,3,2,2,0,0,2
"MIR6511B1",10,13,3,5,8,11,13,6,0,1,1,1,1,0,0,1
"MIR6727",7,18,5,20,19,10,10,4,4,8,6,13,0,2,3,1
"MIR6728",1,1,0,0,2,1,0,1,1,1,0,0,3,1,0,3
"MIR6732",3,4,3,3,4,4,2,3,0,0,1,1,3,0,0,0
"MIR6733",2,2,2,1,1,1,3,3,0,3,1,0,1,0,1,2
"MIR6738",0,1,0,0,0,1,1,0,0,3,1,2,1,0,1,1
"MIR6746",1,4,1,3,4,2,5,5,1,1,1,0,1,2,0,0
"MIR6748",3,5,5,6,7,10,6,2,2,2,3,4,4,2,0,1
"MIR6753",2,2,2,6,5,3,7,4,2,3,0,1,1,2,0,1
"MIR6758",23,35,8,5,47,51,61,36,1,2,5,3,4,1,1,5
"MIR6767",1,0,0,0,1,4,1,4,0,2,1,1,1,1,2,0
"MIR6777",3,2,0,2,2,3,4,1,0,1,2,0,0,0,0,0
"MIR6781",1,0,2,0,1,1,0,1,0,1,1,0,1,1,3,1
"MIR6797",3,16,1,1,2,3,3,3,1,6,2,4,3,1,1,1
"MIR6800",4,7,2,4,8,6,4,2,1,1,1,2,1,0,0,0
"MIR6802",0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0
"MIR6805",4,14,2,5,4,7,5,2,1,3,2,2,1,3,0,1
"MIR6820",1,1,0,0,1,1,1,2,1,1,4,2,1,1,0,3
"MIR6824",6,11,5,6,15,25,10,12,1,6,8,11,9,1,2,9
"MIR6834",3,6,5,3,5,5,3,3,0,1,3,3,1,1,1,3
"MIR6835",4,2,5,4,1,6,6,7,2,7,1,3,9,2,0,2
"MIR6838",2,3,1,3,5,3,7,3,2,2,3,2,4,2,1,2
"MIR6847",2,4,1,3,1,3,4,2,2,2,3,0,1,2,0,1
"MIR6848",15,20,11,18,12,14,13,12,3,2,2,4,2,1,1,3
"MIR6852",17,18,9,13,10,16,19,20,4,10,16,11,13,3,5,7
"MIR6861",15,32,18,22,28,33,24,15,2,1,4,2,2,1,1,2
"MIR6864",2,2,3,2,2,8,4,2,2,1,1,0,2,1,0,0
"MIR6877",0,1,1,0,1,1,0,1,1,2,1,1,2,1,0,1
"MIR6890",2,3,1,2,2,2,1,2,0,1,1,0,0,0,0,0
"MIR6891",0,1,0,0,1,0,1,0,2,3,7,11,7,3,2,7
"MIR6892",0,2,1,2,1,1,0,1,1,1,2,0,1,1,0,1
"MIR6895",0,2,2,0,1,3,1,1,0,0,0,0,1,1,2,0
"MIR7109",4,5,2,5,5,3,1,3,1,3,5,4,2,0,0,3
"MIR7110",1,3,1,0,0,1,2,2,2,0,1,3,2,1,1,0
"MIR7111",8,7,3,4,9,16,4,3,3,7,9,11,12,9,1,9
"MIR7113",5,7,3,4,2,6,3,3,2,1,2,4,1,1,1,1
"MIR7703",83,122,57,91,52,72,68,55,41,85,113,65,64,24,14,57
"MIR7844",3,9,7,13,12,4,6,3,3,24,10,17,21,9,2,17
"MIR7855",0,0,2,0,3,4,3,0,2,2,2,3,0,1,2,4
"MIR8075",1,1,0,0,3,3,2,1,5,6,6,2,7,4,0,5
"MIR8085",0,2,0,2,2,5,1,0,0,1,1,0,1,1,0,0
"MIR7112",55,80,21,42,98,91,110,73,1,2,15,1,3,0,2,4
"MIR6859-2",8,10,4,6,14,13,15,12,2,5,5,3,5,2,1,3
"MIR6859-3",9,11,4,7,13,12,16,12,1,5,5,3,5,1,1,3
"MIR6807",1,4,1,3,5,6,6,9,2,5,9,3,6,4,0,12
"MIR6721",37,60,28,46,38,39,60,40,7,23,28,32,26,12,5,26
"MIR6773",77,58,81,69,125,191,87,130,0,5,1,2,22,0,3,6
"MIR6741",1,2,1,3,2,2,1,2,2,1,1,0,1,1,0,1
"MIR6893",0,1,1,0,0,1,0,1,1,1,0,2,0,1,1,1
"MIR6505",2,2,1,3,3,6,4,3,0,1,0,0,0,0,0,2
"MIR6515",0,2,1,1,1,2,1,1,1,1,6,1,0,3,2,1
"MIR6716",4,7,3,8,8,6,12,4,1,1,3,2,1,0,1,0
"MIR6734",3,6,5,3,10,9,5,2,1,0,1,1,1,1,0,0
"MIR6739",3,4,2,4,4,10,4,3,1,0,1,1,1,0,0,0
"MIR6759",2,1,4,5,6,6,3,3,1,3,2,2,2,1,0,2
"MIR6783",0,1,1,1,0,1,1,2,1,5,3,0,1,1,0,1
"MIR6789",3,9,2,1,7,8,5,3,2,4,4,1,2,0,1,3
"MIR6832",3,1,1,3,6,8,4,6,1,1,4,0,0,0,0,0
"MIR6840",1,0,1,2,3,6,1,1,2,2,5,3,1,2,1,0
"MIR6845",2,1,2,3,4,6,6,3,1,4,2,3,3,0,0,0
"MIR6859-1",8,18,8,10,24,30,32,21,2,5,5,3,5,2,1,3
"MIR6873",0,0,1,1,1,1,0,1,1,2,3,2,5,2,1,3
"MIR6894",0,2,0,1,2,1,1,2,0,1,2,0,1,0,0,0
"MIR7705",58,168,47,74,46,55,65,47,2,4,6,11,12,5,3,9
"MIR6516",8,9,5,7,3,4,9,6,22,178,244,210,191,70,52,257
"MIR6785",0,2,0,0,2,4,0,1,1,2,2,0,1,1,0,3
"PDCD6-DT",22,14,11,23,13,10,29,15,5,5,4,1,4,3,1,2
"MAFTRR",15,4,2,4,9,5,5,3,1,2,3,0,3,0,0,4
"LINC02115",1,1,0,0,2,1,2,0,1,0,3,1,0,1,0,1
"LINC02999",0,0,1,3,1,1,1,1,1,4,3,1,2,4,0,8
"FBXO38-DT",40,44,31,36,23,24,26,6,16,40,58,48,22,9,6,38
"NDST1-AS1",4,14,4,1,3,7,11,4,3,5,7,4,4,0,0,1
"PCAT5",1,1,0,1,3,3,8,3,8,27,47,73,302,134,62,364
"DPH5-DT",226,301,113,179,57,116,126,68,23,53,53,60,25,9,1,46
"THRIL",1155,1436,814,1000,1049,1053,841,605,109,287,165,393,251,79,21,335
"LINC01159",0,1,2,0,0,0,0,1,7,13,20,17,1,2,1,4
"GHET1",247,219,154,220,150,178,348,166,7,13,8,14,4,3,1,8
"LINC01169",1,2,5,1,2,1,6,2,0,0,0,0,1,1,0,0
"STAM-DT",75,101,52,83,51,47,80,45,17,61,87,39,33,10,6,34
"MIR133A1HG",1,4,1,1,3,3,0,4,4,9,13,4,8,0,0,11
"LOC102723305",0,0,1,0,0,2,0,2,1,2,3,7,2,0,0,5
"SOX7-AS1",2,2,5,2,5,10,6,4,3,13,11,7,3,1,1,9
"FRG1DP",97,143,55,91,122,110,157,88,2,5,5,3,5,3,2,4
"E2F5-DT",20,18,9,9,19,22,10,6,0,2,6,4,1,0,0,1
"LOC102723331",20,9,3,10,19,2,16,13,2,17,24,10,6,1,13,9
"LINC00412",6,5,4,7,6,2,5,1,1,9,5,6,4,1,1,3
"LOC102723334",57,64,31,54,30,34,42,27,3,2,5,7,9,1,1,9
"LOC102723335",10,11,9,11,9,15,15,12,0,0,1,2,2,1,0,4
"LOC102723338",13,18,4,8,20,15,26,19,0,2,3,3,1,0,2,0
"LOC102723340",281,427,173,278,246,285,370,226,54,144,97,108,103,31,8,102
"LOC102723342",977,1423,532,774,1113,1272,1173,820,41,95,106,79,65,19,22,69
"LINC02568",0,0,4,6,0,1,5,4,0,0,1,1,0,1,1,0
"LOC102723345",15,13,17,8,15,3,12,4,0,1,5,3,3,0,4,4
"HCG21",5,11,4,8,3,6,10,5,0,0,0,1,0,0,0,0
"LOC102723347",77,110,57,74,71,94,92,66,1,4,4,4,3,1,0,4
"LOC102723348",5,11,8,14,8,9,17,9,1,2,1,3,1,0,0,2
"LINC02636",2,1,0,1,3,1,1,1,1,1,1,7,1,0,0,3
"LINC02298",1,17,8,10,8,16,20,10,4,3,15,6,2,3,0,4
"ZFPM2-AS1",477,595,383,439,284,489,508,315,2,5,61,62,1,2,12,35
"LOC102723360",312,331,189,269,330,368,384,255,59,166,245,133,169,56,54,138
"LOC102723373",19,24,11,13,11,10,6,4,0,1,0,7,0,0,0,3
"LOC102723381",1,0,1,3,0,2,1,0,0,5,7,0,2,3,2,4
"LOC102723382",22,18,10,22,30,29,38,18,0,1,2,1,2,1,0,3
