"","LNCaP_EV_Normoxia_rep1","LNCaP_EV_Normoxia_rep2","LNCaP_OC2_overexpress_Normoxia_rep1","LNCaP_OC2_overexpress_Normoxia_rep2","LNCaP_EV_Hypoxia_rep1","LNCaP_EV_Hypoxia_rep2","LNCaP_OC2_overexpress_Hypoxia_rep1","LNCaP_OC2_overexpress_Hypoxia_rep2","PC3_siCtrl_Normoxia_rep1","PC3_siCtrl_Normoxia_rep2","PC3_siOC2_Normoxia_siRNA1","PC3_siOC2_Normoxia_siRNA2","PC3_siCtrl_Hypoxia_rep1","PC3_siCtrl_Hypoxia_rep2","PC3_siOC2_Hypoxia_siRNA1","PC3_siOC2_Hypoxia_siRNA2"
"ACTN4",10466,14787,10594,13782,12827,13810,14273,9894,2066,5295,9242,1984,4295,1639,2092,1996
"ACTL6A",3157,4095,1730,2515,3179,3467,2736,1969,485,1339,1127,934,1258,363,204,856
"ACTN1",3698,4525,2539,3717,4430,5267,4041,3180,10235,26643,50762,13474,26098,9487,13070,16654
"ACTN2",14,9,15,10,6,14,29,21,1,6,5,10,2,0,1,8
"ACTN3",4,2,37,51,8,11,35,27,2,3,7,9,1,0,1,6
"ACVR1",377,521,191,347,342,397,463,297,93,259,450,313,332,98,139,315
"ACVR1B",1558,1996,770,1302,2675,2971,2551,1698,47,136,205,134,104,43,34,145
"ACVR2A",522,580,330,394,460,500,616,437,218,608,759,749,638,209,147,831
"ACVR2B",421,602,300,361,512,495,971,686,185,454,634,680,468,179,73,705
"ACVRL1",9,5,6,5,3,7,10,6,2,8,105,10,6,0,13,2
"ACY1",1051,1713,541,856,689,759,737,459,82,189,169,121,110,48,32,117
"ACYP1",231,228,147,222,112,155,169,80,27,72,91,39,39,19,9,31
"ACYP2",406,580,241,407,286,266,386,251,35,70,91,103,70,22,21,80
"ADA",346,418,170,290,272,272,372,244,237,707,850,942,339,152,98,725
"ADAM8",126,178,86,113,160,231,185,120,496,1124,1458,704,2145,856,439,874
"ADAM10",5182,5280,3085,4296,5624,6111,6019,4198,768,1968,979,1944,2777,884,305,2477
"ADAR",9261,10550,5438,8940,8163,9727,9807,6902,2645,6894,4082,6171,4954,1787,878,5913
"ADARB1",986,1262,604,931,1458,1612,1792,1253,163,439,522,636,342,111,145,590
"ADARB2",21,10,5,14,2,13,12,1,4,17,14,28,6,2,3,19
"ADCY1",846,1107,505,760,547,615,940,551,151,306,244,474,262,76,74,368
"ADCY2",2,2,0,2,1,0,2,1,1,3,0,2,0,0,0,2
"ADCY3",589,794,309,479,532,628,544,387,306,800,772,760,666,208,203,748
"ADCY5",41,45,98,134,33,47,162,100,13,44,147,134,25,12,31,80
"ADCY6",2074,2412,1488,1698,2573,2766,2333,1704,165,446,685,297,419,156,216,328
"ADCY7",353,386,210,350,200,232,362,163,134,356,477,375,464,176,134,357
"ADCY8",0,0,0,0,3,10,11,6,0,2,3,20,2,0,9,11
"ADCY9",1044,1254,701,1037,1226,1443,942,830,59,154,140,174,141,56,30,203
"ADCYAP1",1,1,0,1,0,0,0,0,1,12,31,23,6,2,2,17
"ADCYAP1R1",0,0,0,2,2,0,18,7,8,35,71,235,29,14,5,186
"ADD1",6067,7794,5196,7539,6229,6913,9361,6577,134,384,264,326,403,141,100,295
"ADD2",48,66,33,34,16,31,77,37,236,739,539,471,596,191,93,370
"ADD3",9556,9204,5339,7309,8659,9390,9587,6119,1116,3158,2367,1016,3130,1029,428,1063
"PLIN2",8,5,6,16,13,13,19,12,227,630,820,936,1000,311,187,2057
